zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster
25346394,945 N Iroquois Ave, Anaheim,CA,92801,4,2.0,1228,481938,3
117895151,S Reseda St, Anaheim,CA,92806,3,2.0,1288,470772,3
2115099989,1919 W Coronet Ave SPC 199, Anaheim,CA,92801,3,2.0,2000,392616,3
25126740,302 E Alberta St, Anaheim,CA,92805,2,1.0,1004,461670,3
25406588,311 S Old Bridge Rd, Anaheim,CA,92808,7,7.0,4900,1785773,5
2097906060,1422 N Stoneyhaven Ln, Anaheim,CA,92801,3,2.0,1160,402391,3
25415410,6082 E Silverspur Trl, Anaheim,CA,92807,2,3.0,1484,630464,4
25409450,4324 E Addington Dr, Anaheim,CA,92807,4,2.0,2127,664899,4
25322477,12755 Chelsea Cir, Garden Grove,CA,92840,3,2.0,1200,400315,3
25175175,2076 S Eileen Dr, Anaheim,CA,92802,3,2.0,2297,700546,4
2097920179,5815 E La Palma Ave SPC 187, Anaheim,CA,92807,3,2.0,1529,494609,3
25124821,625 W La Verne St, Anaheim,CA,92805,4,4.0,2991,761411,4
25644661,1919 W Coronet Ave SPC 178, Anaheim,CA,92801,3,2.0,1644,1660473,5
25222721,114 S Empire St, Anaheim,CA,92804,3,2.0,1378,526386,3
25129027,322 W South St, Anaheim,CA,92805,3,2.0,1890,550870,3
25408751,7646 E Calle Durango, Anaheim,CA,92808,4,3.0,2008,704214,4
25221623,1431 S Markev St, Anaheim,CA,92804,4,3.0,1971,594019,3
25222986,209 S Florette St, Anaheim,CA,92804,4,2.0,1726,574785,3
25414123,5641 E Avenida De Vinedos, Anaheim,CA,92807,2,2.0,1012,388170,3
25751554,5521 E Stetson Ct # 35, Anaheim,CA,92807,2,2.0,1530,512406,3
25163802,1331 S Anaheim Blvd, Anaheim,CA,92805,0,0.0,3423,892026,4
25165368,850 S Sapphire Ln, Anaheim,CA,92807,2,2.5,1549,540996,3
25688988,1776 N Cedar Glen Dr # 190, Anaheim,CA,92807,2,1.0,942,324416,2
25129263,923 S Flore St, Anaheim,CA,92802,4,2.0,1339,545562,3
25129067,1126 W South St, Anaheim,CA,92802,4,2.0,1285,500217,3
25665565,1870 W Falmouth Ave # 38, Anaheim,CA,92801,2,2.5,988,372838,3
25405045,987 S Silver Star Way, Anaheim,CA,92808,4,3.0,2017,726350,4
25151703,2644 W Bruce Ave, Anaheim,CA,92801,3,2.0,1818,564864,3
25398459,1249 N Willet Cir, Anaheim,CA,92807,3,3.0,2320,710575,4
25405987,240 S Mohler Dr, Anaheim,CA,92808,4,3.0,3113,1077800,4
25124708,1014 N Lomita St, Anaheim,CA,92801,3,2.0,1220,492807,3
25665582,1886 W Falmouth Ave # 55, Anaheim,CA,92801,2,2.0,945,358515,2
89161100,755 S Kroeger St, Anaheim,CA,92805,3,4.0,1570,549176,3
25414713,308 S Vista Del Canon, Anaheim,CA,92807,3,3.0,1537,554588,3
25406618,280 S Old Bridge Rd, Anaheim,CA,92808,5,5.5,4153,1549885,5
25417006,6845 E Swarthmore Dr, Anaheim,CA,92807,4,3.0,2500,809655,4
25771300,1250 S Brookhurst St UNIT 2035, Anaheim,CA,92804,2,2.0,912,246224,2
25405838,6536 E Calle Del Norte, Anaheim,CA,92807,4,2.5,2271,743946,4
2097997043,193 N Magnolia Ave APT C, Anaheim,CA,92801,2,2.0,980,393685,3
25771239,1250 S Brookhurst St UNIT 1082, Anaheim,CA,92804,2,2.0,912,254058,2
25163506,1911 E Savoy Ave, Anaheim,CA,92805,3,2.0,1324,522422,3
25418202,7730 E Rainview Ct, Anaheim,CA,92808,5,3.0,2900,907457,4
63111478,745 N Harbor Blvd, Anaheim,CA,92805,4,3.0,2500,651472,4
63118378,2848 E Cinnamon Pl, Anaheim,CA,92806,3,3.0,2003,623614,4
25153374,943 N Siesta St, Anaheim,CA,92801,3,2.0,1584,511305,3
25417206,7174 E Columbus Dr, Anaheim,CA,92807,4,3.0,2583,822698,4
25126182,206 E La Palma Ave, Anaheim,CA,92801,3,1.0,987,423684,3
25126350,521 N Zeyn St, Anaheim,CA,92805,3,2.0,1348,642682,4
25223121,1767 W Orange Ave, Anaheim,CA,92804,0,0.0,0,703557,4
25331741,1544 W Edithia Ave, Anaheim,CA,92802,4,2.0,1410,551930,3
29618409,1782 S Tiara St, Anaheim,CA,92802,3,2.0,1154,544626,3
25151477,2861 W Coolidge Ave, Anaheim,CA,92801,4,2.0,2117,636282,4
2098009817,5803 E Mountain Loop Trl, Anaheim,CA,92807,3,3.0,1831,597464,3
2098009816,S Palomino Ln, Anaheim Hills,CA,92807,3,3.0,1655,615636,3
2098009820,E Singingwood Dr, Anaheim Hills,CA,92808,3,3.0,2054,691536,4
25727766,5803 E Mountain Loop Trl # 26, Anaheim,CA,92807,3,2.5,1831,583517,3
25727784,545 S Indian Trl # 44, Anaheim,CA,92807,3,2.5,1957,586954,3
25727764,5809 E Mountain Loop Trl # 24, Anaheim,CA,92807,2,2.0,1347,531382,3
25323613,1216 E Turin Ave, Anaheim,CA,92805,4,3.0,2300,602127,3
25152145,2776 W Monroe Pl, Anaheim,CA,92801,3,2.0,1138,491096,3
25406726,7351 E Singingwood Dr, Anaheim,CA,92808,3,3.0,2054,646021,4
25159607,1507 W Romneya Dr, Anaheim,CA,92801,4,2.0,1213,479188,3
25163752,502 S East St, Anaheim,CA,92805,3,2.0,1368,470816,3
25322609,238 W Orangewood Ave, Anaheim,CA,92802,3,2.0,1270,553333,3
25698667,1381 S Walnut St UNIT 1907, Anaheim,CA,92802,2,3.0,988,463673,3
25750512,211 N Magnolia Ave APT B, Anaheim,CA,92801,2,2.0,1127,408217,3
51623790,1206 S Goldstone Cir, Anaheim,CA,92804,4,2.5,2002,654718,4
25415630,644 S Scout Trl, Anaheim,CA,92807,4,3.0,2900,945004,4
25731793,231 E Ponderosa Ln # 12, Anaheim,CA,92802,2,1.0,1245,425418,3
25129185,836 S Bellevue Pl, Anaheim,CA,92805,3,1.0,1696,501924,3
25225562,1826 W Harle Ave, Anaheim,CA,92804,3,2.0,1233,460548,3
25659872,3057 W Cheryllyn Ln # 37, Anaheim,CA,92804,3,3.0,1339,361375,2
2098098555,5815 E La Palma Ave SPC 276, Anaheim,CA,92807,3,2.0,1231,447076,3
2098100401,N Piedmont Dr, Anaheim Hills,CA,92807,4,3.0,2400,741754,4
25415223,5540 E Vista Del Dia, Anaheim,CA,92807,2,3.0,1404,474967,3
25163628,554 S Elder St, Anaheim,CA,92805,4,2.0,1390,530686,3
25750275,2679 W Cameron Ct # 214, Anaheim,CA,92801,2,2.0,1138,331411,2
25661703,7757 E Portofino Ave, Anaheim,CA,92808,2,3.0,1190,454158,3
2098113725,1613 E Lincoln Ave, Anaheim,CA,92805,3,4.0,1662,565262,3
25226045,2106 W Crestwood Ln, Anaheim,CA,92804,3,2.0,1200,508272,3
111423811,1787 S Tiara St, Anaheim,CA,92802,3,2.0,1062,478560,3
2098119984,S Harbor Blvd, Anaheim,CA,92805,0,0.0,0,464083,3
2098119995,W Pacific Ave, Anaheim,CA,92804,3,2.0,1666,625156,4
25686188,8125 E Santo Ct, Anaheim,CA,92808,2,3.0,1200,435998,3
25176289,2153 S Balboa Plz, Anaheim,CA,92802,3,2.5,1554,418996,3
25406196,221 S Summertree Rd, Anaheim,CA,92807,4,4.0,3100,762299,4
25657331,1130 E Chestnut St, Anaheim,CA,92805,3,3.0,1500,470570,3
25406523,357 S Ramsgate Dr, Anaheim,CA,92807,0,0.0,0,703557,4
25163548,1707 E South St, Anaheim,CA,92805,4,2.0,1600,510255,3
25411965,183 S Peralta Hills Dr, Anaheim,CA,92807,4,3.0,3151,1521381,5
2098126351,1222 N Placentia Ave APT 3, Anaheim,CA,92806,2,1.0,2556,800154,4
25406508,327 S Royal Ridge Dr, Anaheim,CA,92807,4,4.0,4680,1754814,5
25406879,7500 E Endemont Ct, Anaheim,CA,92808,6,5.0,4072,1424511,5
25412285,4375 E Rocky Point Rd, Anaheim,CA,92807,4,3.0,2407,884377,4
25406088,7559 E Vista Del Sol, Anaheim,CA,92808,4,4.0,4066,1541479,5
25418348,1018 S Mountvale Ct, Anaheim,CA,92808,5,3.0,2826,925631,4
25648379,211 S Beach Blvd SPC 88, Anaheim,CA,92804,3,2.0,0,1514322,5
2098138074,1120 N Ventana Ln, Placentia,CA,92870,4,4.5,2876,839002,4
35863360,1131 Audubon Cir SW, Atlanta,GA,30311,4,3.0,1720,188116,1
2097545085,1040 Little Hampton Ct SE # 165, Atlanta,GA,30354,0,0.0,0,703557,4
35921226,1870 Spring Ave NW, Atlanta,GA,30318,2,1.0,0,166789,1
35874470,2021 Lewis Rd SE, Atlanta,GA,30315,2,1.0,756,45690,0
55018902,3655 Habersham Rd NE APT 374, Atlanta,GA,30305,1,1.0,790,122424,0
35918339,1417 Wessyngton Rd NE, Atlanta,GA,30306,5,5.0,4450,1367758,5
35899386,75 14th St NE UNIT 4230, Atlanta,GA,30309,1,1.0,0,302509,2
35871714,4151 Cornell Blvd SW, Atlanta,GA,30331,5,3.0,1600,74571,0
35925570,1590 W Sussex Rd NE, Atlanta,GA,30306,4,3.0,2587,888057,4
2146226068,1040 Little Hampton Ct SE, Atlanta,GA,30354,0,0.0,0,703557,4
2097545987,0 Besto Dr, Atlanta,GA,30318,0,0.0,0,703557,4
35876974,1331 Miller Reed Ave SE, Atlanta,GA,30315,2,1.0,729,47298,0
