zpid,street,city,state,zipcode,bedroom,bathroom,sqft,zestimate,cluster,sqft_norm,zestimate_norm
2099228207,642 Natoma St # A, San Francisco,CA,94103,3,2.0,1353,1003577,2,1.02113207547,0.767605773849
15185390,13 Surrey St, San Francisco,CA,94131,2,2.0,1280,1091218,2,0.966037735849,0.834639731011
53153388,370 Monterey Blvd APT 101, San Francisco,CA,94131,1,1.0,807,347181,5,0.609056603774,0.265548273995
15138223,176 Yerba Buena Ave, San Francisco,CA,94127,4,3.5,2562,2987036,3,1.93358490566,2.28469373082
2100755012,263 Thrift St, San Francisco,CA,94112,0,0.0,2529,1328816,3,1.90867924528,1.01637127394
15078487,853 Hayes St, San Francisco,CA,94117,3,3.0,2020,1797528,3,1.52452830189,1.37487494378
15083909,128 Wood St # 1, San Francisco,CA,94118,3,2.0,1600,1525113,2,1.20754716981,1.16651292783
89238348,1884 Bush St, San Francisco,CA,94109,1,1.0,934,989232,5,0.704905660377,0.756633716074
80736213,1601 Pacific Ave APT 207, San Francisco,CA,94109,2,3.0,1274,1192779,2,0.961509433962,0.912320676267
15175184,125 Britton St, San Francisco,CA,94134,1,1.0,650,632770,4,0.490566037736,0.483986685146
79847573,900 Gilman Ave # 14, San Francisco,CA,94124,2,1.0,899,209999,5,0.678490566038,0.160621900365
2099430840,Residence G1 Plan, Summit 800 San Francisco,CA,94132,3,2.5,2328,1468802,3,1.75698113208,1.12344234258
2097734745,633-637 Capp St # 635A, San Francisco,CA,94110,2,1.0,0,1423055,6,0.0,1.08845184227
2099853783,3422 19th St, San Francisco,CA,94110,2,2.0,0,1057182,4,0.0,0.808606621325
15109495,1668 18th Ave, San Francisco,CA,94122,3,2.0,1671,1282866,2,1.26113207547,0.981225505044
15109410,1622 21st Ave, San Francisco,CA,94122,5,3.0,1275,1387469,2,0.962264150943,1.06123318434
82786081,425 1st St UNIT 1607, San Francisco,CA,94105,1,1.0,819,1126688,5,0.618113207547,0.861769664039
15088261,130 Rivoli St, San Francisco,CA,94117,3,2.0,1700,1491917,2,1.28301886792,1.14112230881
2099430843,Residence B Plan, Summit 800 San Francisco,CA,94132,3,2.5,2001,1552234,3,1.51018867925,1.18725696261
15136357,456 Los Palmos Dr, San Francisco,CA,94127,4,4.0,2000,1473643,2,1.50943396226,1.12714507745
15086531,255 Central Ave, San Francisco,CA,94117,2,2.0,1078,1035315,5,0.81358490566,0.791881212655
