2097665408	3233 Steiner St	 San Francisco	CA	94123	Studio	-- baths	-- sqft	$2,473,583
116156046	1134 Page St	 San Francisco	CA	94117	3 beds	3 baths	1,609 sqft	$1,540,588
2097667876	48 Lower Ter # 48	 San Francisco	CA	94114	3 beds	3 baths	1,893 sqft	$1,979,118
2101439205	5114 5116 3rd St	 San Francisco	CA	94124	-- beds	-- baths	2,000 sqft	$912,839
15090782	332 29th Ave	 San Francisco	CA	94121	4 beds	1 bath	1,168 sqft	$1,072,623
64972516	333 1st St UNIT 1001	 San Francisco	CA	94105	2 beds	2 baths	-- sqft	$1,230,850
2143414544	3334 Clay St	 San Francisco	CA	94118	3 beds	2 baths	2,150 sqft	$1,899,574
15130401	4407-4409 20TH St	 San Francisco	CA	94114	4 beds	2 baths	2,510 sqft	$2,209,415
15114554	1601 Ortega St	 San Francisco	CA	94122	2 beds	1 bath	1,221 sqft	$1,041,369
15082851	730 Euclid Ave	 San Francisco	CA	94118	4 beds	3 baths	3,425 sqft	$4,393,619
15135507	1290 Portola Dr	 San Francisco	CA	94127	3 beds	3 baths	2,352 sqft	$2,409,984
15068322	3 Helen St # 101	 San Francisco	CA	94109	2 beds	3 baths	2,030 sqft	$1,669,516
15132258	965 Elizabeth St	 San Francisco	CA	94114	2 beds	3 baths	1,279 sqft	$1,495,985
82785263	181 Ofarrell St STE 305	 San Francisco	CA	94102	1 bed	2 baths	1,334 sqft	$1,245,017
2097671492	2596 24th Ave	 San Francisco	CA	94116	Studio	-- baths	2,850 sqft	$1,423,563
15081454	115 Walnut St	 San Francisco	CA	94118	3 beds	3.5 baths	2,600 sqft	$3,801,291
15157202	1550 Shafter Ave	 San Francisco	CA	94124	5 beds	2 baths	1,750 sqft	$771,487
15172634	15 Bishop St	 San Francisco	CA	94134	4 beds	3 baths	2,200 sqft	$1,280,512
89239005	445 Baker St	 San Francisco	CA	94117	2 beds	1 bath	1,211 sqft	$1,278,501
69819344	2913 25th St	 San Francisco	CA	94110	1 bed	1 bath	1,053 sqft	$962,404
2143405194	228 Oneida Ave	 San Francisco	CA	94112	4 beds	3 baths	2,114 sqft	$1,163,326
63196468	1050 N Point St APT 503	 San Francisco	CA	94109	1 bed	1 bath	615 sqft	$830,977
125243731	101 Lundys Ln	 San Francisco	CA	94110	Studio	-- baths	2,249 sqft	$662,610
15065815	422 Green St	 San Francisco	CA	94133	Studio	-- baths	1,295 sqft	$1,375,077
2097679306	112 Ripley St APT 2	 San Francisco	CA	94110	1 bed	1 bath	-- sqft	$776,803
15131651	4121 23rd St	 San Francisco	CA	94114	4 beds	3 baths	2,657 sqft	$2,206,416
15164756	4219 Folsom St	 San Francisco	CA	94110	3 beds	2 baths	1,539 sqft	$971,556
2097680187	870 Harrison St UNIT 605	 San Francisco	CA	94107	2 beds	1.5 baths	-- sqft	$943,276
15134406	736 Myra Way	 San Francisco	CA	94127	3 beds	1 bath	-- sqft	$966,507
2103084745	3055 California St # A	 San Francisco	CA	94115	2 beds	2 baths	966 sqft	$1,035,341
