ZPID,Street, City, State_Zipcode, Bedroom, Bathroom, Sqft, Zestimate
19826946,275 Tradewinds Dr APT 11, San Jose, CA 95123 ,1 bed,1 bath,722 sqft,$347,269
19841525,7421 Tulare Hill Dr, San Jose, CA 95139 ,3 beds,3 baths,1,655 sqft,$641,347
19565043,1560 Timber Creek Dr, San Jose, CA 95131 ,3 beds,3 baths,1,631 sqft,$882,057
2098359602,B1 Plan, The Globe San Jose, CA 95113 ,1 bed,1 bath,676 sqft,$476,405
2099136516,Towns / Plan 3B Plan, Orchard Park San Jose, CA 95131 ,4 beds,3.5 baths,1,872 sqft,$1,064,291
19780226,659 Youngs Ct, San Jose, CA 95127 ,4 beds,2 baths,1,554 sqft,$713,098
19560465,1533 Goody Ln, San Jose, CA 95131 ,3 beds,3 baths,1,493 sqft,$938,097
19766115,6669 Copperwood Cir, San Jose, CA 95120 ,2 beds,2 baths,1,124 sqft,$775,744
19609062,1360 Charmwood Sq, San Jose, CA 95117 ,2 beds,3 baths,1,152 sqft,$797,779
19741060,953 Cheswick Dr, San Jose, CA 95121 ,4 beds,3 baths,2,000 sqft,$840,345
59683822,3057 Oliver Dr, San Jose, CA 95135 ,6 beds,5 baths,3,705 sqft,$1,678,604
19558642,1528 Santa Paula Ave, San Jose, CA 95110 ,4 beds,2 baths,1,220 sqft,$642,072
19786625,1587 Mount Pleasant Dr, San Jose, CA 95127 ,Studio,-- baths,1,722 sqft,$798,673
19738809,2785 Lone Bluff Way, San Jose, CA 95111 ,2 beds,2 baths,867 sqft,$393,139
2132691281,200 Ford Rd SPC 209, San Jose, CA 95138 ,2 beds,2 baths,1,344 sqft,$458,236
19727684,2564 Dumont Ct, San Jose, CA 95122 ,4 beds,2 baths,1,220 sqft,$636,052
89467585,1 E Julian St UNIT 217, San Jose, CA 95112 ,1 bed,1 bath,742 sqft,$475,077
19569563,469 N 18th St, San Jose, CA 95112 ,3 beds,1 bath,1,168 sqft,$628,692
19729288,2850 Singing Rain Pl, San Jose, CA 95127 ,2 beds,1 bath,881 sqft,$413,787
